k0h, kh
0.83650014600088584693, 1.06310220657287812784
0.84278962078284735959, 1.06837827858144485127
0.84907909556480887225, 1.07365157930312649093
0.85536857034677060696, 1.07892224572515971204
0.86165804512873211962, 1.08419041226221546381
0.86794751991069363228, 1.08945621081765620097
0.87423699469265514495, 1.09471977084273119907
0.88052646947461665761, 1.09998121939379345235
0.88681594425657817027, 1.10524068118761831236
0.89310541903853979395, 1.11049827865489691980
0.89939489382050130661, 1.11575413199197748249
0.90568436860246293030, 1.12100835921092345515
0.91197384338442444296, 1.12626107618794990550
0.91826331816638595562, 1.13151239671030801048
0.92455279294834757930, 1.13676243252167008535
0.93084226773030909197, 1.14201129336607509757
0.93713174251227060463, 1.14725908703049084281
0.94342121729423211729, 1.15250591938604252107
0.94971069207619362995, 1.15775189442795789496
